IDOS5,IDOS30,IDOS60,IDOS100,KNN5,KNN30,KNN60,KNN100,LIC5,LIC30,LIC60,LIC100,LOF5,LOF30,LOF60,LOF100,LOOP5,LOOP30,LOOP60,LOOP100,SOD5,SOD30,SOD60,SOD100
0.715221732,0.775165463,0.86108672,0.949110406,6.480740698,8.426149773,9.433981132,10.53565375,12.23461498,15.71127879,17.5868754,19.42638202,1.069546854,1.10040284,1.141625284,1.116246624,0.01314294,0.193335873,0.253020457,0.203720115,0.114698193,0.141483698,0.142937894,0.164332624
0.99415799,0.744311438,0.874538036,1.001126426,6,8.124038405,9.055385138,10.04987562,11.60574139,15.13316662,16.85614807,18.54584445,1.01562555,1.096301708,1.100213061,1.10222913,0.268139814,0.187054715,0.168204692,0.09955519,0.124533616,0.120805126,0.11479988,0.123161357
1.709864887,1.066340665,1.032634791,1.1458941,6.633249581,8.062257748,9.16515139,10,13.03347562,15.326873,17.15501151,18.62558427,1.135712115,1.047232865,1.078647674,1.081956401,0.491073367,0.174479311,0.168066766,0.124641847,0.12820291,0.181716832,0.179327554,0.183183771
1.278088781,1.337356775,1.056311881,0.896536605,4.69041576,6,6.92820323,7.937253933,9.180153478,11.46137391,12.90540692,14.51501654,0.990346519,0.989799505,0.992889643,1.005124328,0.053189391,0,0,0,0.106392878,0.10676076,0.104195155,0.108408325
0.816825656,1.071306779,1.210238836,1.150185914,5.196152423,6.244997998,6.782329983,7.549834435,9.91260016,11.90394162,12.89943774,14.09622532,1.011295287,0.997715584,0.992546979,0.998300836,0.061901597,0.030451219,0,0,0.096849039,0.091760765,0.092169352,0.090847255
1.26925733,0.72015654,0.784623351,0.833757897,5.385164807,7.810249676,9.055385138,10.29563014,10.32895367,14.44592258,16.62991838,18.69750625,0.991472184,1.046395126,1.07563208,1.086658975,0,0.040402669,0.050385674,0.091640511,0.112284058,0.084745815,0.108293262,0.118970921
1.161110472,0.78678122,0.990682936,1.006787042,4.472135955,5.656854249,6.32455532,7.071067812,8.781902512,10.64619055,11.85833248,13.08255478,0.992504388,0.974661671,0.984359663,0.981126075,0.002984041,0,0,0,0.118942045,0.092631288,0.094100298,0.084235853
0.695081932,0.76013608,0.813553845,1.074076317,6.8556546,8.660254038,9.797958971,10.63014581,12.874511,16.1789215,18.18858461,19.76584786,1.138095815,1.105481518,1.148817281,1.136220247,0.509746144,0.241682044,0.284480541,0.250150232,0.158016252,0.174884336,0.181620354,0.182875639
1.195333624,0.9624749,0.838266318,0.935611987,6.08276253,7.810249676,9.16515139,11.5758369,11.60421954,14.6280773,16.78482839,20.33626772,1.148705375,1.080381322,1.093389732,1.146589447,0.460472648,0.195122503,0.15882427,0.222878469,0.093504411,0.098095723,0.100476296,0.09184601
1.37225007,0.864340346,0.790299562,0.779540366,4.472135955,6,7.211102551,8.717797887,8.607981327,11.18482224,13.15207349,15.48068592,0.984755137,0.992041452,0.998011447,1.022123307,0,0,0,0,0.094210256,0.078894352,0.087152351,0.086234171
